      Step     Time          Energy          fmax
FIRE:   47 23:44:40    -1095.465454        0.394425
FIRE:   48 23:44:41    -1095.469482        0.514588
FIRE:   49 23:44:41    -1095.475830        0.336275
FIRE:   50 23:44:41    -1095.481323        0.116663
FIRE:   51 23:44:41    -1095.484131        0.453521
FIRE:   52 23:44:42    -1095.490723        0.312814
FIRE:   53 23:44:42    -1095.498413        0.233877
FIRE:   54 23:44:42    -1095.507202        0.420584
FIRE:   55 23:44:42    -1095.520508        0.193634
FIRE:   56 23:44:43    -1095.532227        0.315064
FIRE:   57 23:44:43    -1095.542725        0.428000
FIRE:   58 23:44:43    -1095.553589        0.261157
FIRE:   59 23:44:43    -1095.564331        0.189613
FIRE:   60 23:44:43    -1095.576782        0.128816
FIRE:   61 23:44:44    -1095.588379        0.044862
      Step     Time          Energy          fmax
FIRE:    0 23:46:12    -1093.448853        2.002132
FIRE:    1 23:46:13    -1093.506104        0.551780
FIRE:    2 23:46:13    -1093.509155        0.607470
FIRE:    3 23:46:13    -1093.515625        0.713111
FIRE:    4 23:46:14    -1093.526245        0.851344
FIRE:    5 23:46:14    -1093.542725        0.970141
FIRE:    6 23:46:14    -1093.566406        0.977705
FIRE:    7 23:46:15    -1093.594604        0.707338
FIRE:    8 23:46:15    -1093.616333        0.234706
FIRE:    9 23:46:15    -1093.620728        1.016092
FIRE:   10 23:46:16    -1093.623657        1.746015
FIRE:   11 23:46:16    -1093.666260        1.396390
FIRE:   12 23:46:16    -1093.727295        0.584691
FIRE:   13 23:46:17    -1093.764648        1.304367
FIRE:   14 23:46:17    -1093.821655        1.241428
FIRE:   15 23:46:18    -1093.898560        0.977504
FIRE:   16 23:46:18    -1093.965942        1.215792
FIRE:   17 23:46:18    -1094.050659        0.910061
FIRE:   18 23:46:19    -1094.022705        3.232786
FIRE:   19 23:46:19    -1094.125732        0.802344
FIRE:   20 23:46:19    -1094.083252        1.874664
FIRE:   21 23:46:20    -1094.101562        1.534898
FIRE:   22 23:46:20    -1094.126221        0.887700
FIRE:   23 23:46:21    -1094.139404        0.177940
FIRE:   24 23:46:21    -1094.133301        0.899647
FIRE:   25 23:46:21    -1094.134399        0.849854
FIRE:   26 23:46:22    -1094.136230        0.753244
FIRE:   27 23:46:22    -1094.138550        0.615741
FIRE:   28 23:46:22    -1094.140991        0.446147
FIRE:   29 23:46:23    -1094.143066        0.256207
FIRE:   30 23:46:23    -1094.144531        0.089751
FIRE:   31 23:46:24    -1094.145386        0.120319
FIRE:   32 23:46:24    -1094.145874        0.284240
FIRE:   33 23:46:24    -1094.146362        0.407628
FIRE:   34 23:46:25    -1094.147583        0.469412
FIRE:   35 23:46:25    -1094.150024        0.451015
FIRE:   36 23:46:25    -1094.153564        0.339362
FIRE:   37 23:46:26    -1094.157593        0.136716
FIRE:   38 23:46:26    -1094.161499        0.115521
FIRE:   39 23:46:27    -1094.165161        0.316579
FIRE:   40 23:46:27    -1094.170532        0.358275
FIRE:   41 23:46:27    -1094.178223        0.186440
FIRE:   42 23:46:28    -1094.186279        0.126822
FIRE:   43 23:46:28    -1094.194824        0.314808
FIRE:   44 23:46:29    -1094.206665        0.165527
FIRE:   45 23:46:29    -1094.219116        0.219546
FIRE:   46 23:46:29    -1094.233887        0.227764
FIRE:   47 23:46:30    -1094.250488        0.240022
FIRE:   48 23:46:30    -1094.269287        0.110902
FIRE:   49 23:46:30    -1094.287598        0.410340
FIRE:   50 23:46:31    -1094.307495        0.438622
FIRE:   51 23:46:31    -1094.327148        0.471323
FIRE:   52 23:46:32    -1094.341064        0.770228
FIRE:   53 23:46:32    -1094.326172        1.826710
FIRE:   54 23:46:32    -1094.365234        0.033492
      Step     Time          Energy          fmax
FIRE:    0 23:47:20    -1093.448853        2.002132
FIRE:    1 23:47:21    -1093.506104        0.551780
FIRE:    2 23:47:21    -1093.509155        0.607470
FIRE:    3 23:47:21    -1093.515625        0.713111
FIRE:    4 23:47:22    -1093.526245        0.851344
FIRE:    5 23:47:22    -1093.542725        0.970141
FIRE:    6 23:47:22    -1093.566406        0.977705
FIRE:    7 23:47:23    -1093.594604        0.707338
FIRE:    8 23:47:23    -1093.616333        0.234706
FIRE:    9 23:47:24    -1093.620728        1.016092
FIRE:   10 23:47:24    -1093.623657        1.746015
FIRE:   11 23:47:24    -1093.666260        1.396390
FIRE:   12 23:47:25    -1093.727295        0.584691
FIRE:   13 23:47:25    -1093.764648        1.304367
FIRE:   14 23:47:25    -1093.821655        1.241428
FIRE:   15 23:47:26    -1093.898560        0.977504
FIRE:   16 23:47:26    -1093.965942        1.215792
FIRE:   17 23:47:27    -1094.050659        0.910061
FIRE:   18 23:47:27    -1094.022705        3.232786
FIRE:   19 23:47:27    -1094.125732        0.802344
FIRE:   20 23:47:28    -1094.083252        1.874664
FIRE:   21 23:47:28    -1094.101562        1.534898
FIRE:   22 23:47:28    -1094.126221        0.887700
FIRE:   23 23:47:29    -1094.139404        0.177940
FIRE:   24 23:47:29    -1094.133301        0.899647
FIRE:   25 23:47:29    -1094.134399        0.849854
FIRE:   26 23:47:30    -1094.136230        0.753244
FIRE:   27 23:47:30    -1094.138550        0.615741
FIRE:   28 23:47:31    -1094.140991        0.446147
FIRE:   29 23:47:31    -1094.143066        0.256207
FIRE:   30 23:47:31    -1094.144531        0.089751
FIRE:   31 23:47:32    -1094.145386        0.120319
FIRE:   32 23:47:32    -1094.145874        0.284240
FIRE:   33 23:47:32    -1094.146362        0.407628
FIRE:   34 23:47:33    -1094.147583        0.469412
FIRE:   35 23:47:33    -1094.150024        0.451015
FIRE:   36 23:47:34    -1094.153564        0.339362
FIRE:   37 23:47:34    -1094.157593        0.136716
FIRE:   38 23:47:34    -1094.161499        0.115521
FIRE:   39 23:47:35    -1094.165161        0.316579
FIRE:   40 23:47:35    -1094.170532        0.358275
FIRE:   41 23:47:35    -1094.178223        0.186440
FIRE:   42 23:47:36    -1094.186279        0.126822
FIRE:   43 23:47:36    -1094.194824        0.314808
FIRE:   44 23:47:37    -1094.206665        0.165527
FIRE:   45 23:47:37    -1094.219116        0.219546
FIRE:   46 23:47:37    -1094.233887        0.227764
FIRE:   47 23:47:38    -1094.250488        0.240022
FIRE:   48 23:47:38    -1094.269287        0.110902
FIRE:   49 23:47:38    -1094.287598        0.410340
FIRE:   50 23:47:39    -1094.307495        0.438622
FIRE:   51 23:47:39    -1094.327148        0.471323
FIRE:   52 23:47:40    -1094.341064        0.770228
FIRE:   53 23:47:40    -1094.326172        1.826710
FIRE:   54 23:47:40    -1094.365234        0.033492
      Step     Time          Energy          fmax
FIRE:    0 23:49:30    -1093.448853        0.097342
FIRE:    1 23:49:30    -1093.453369        0.095537
FIRE:    2 23:49:30    -1093.462280        0.091958
FIRE:    3 23:49:31    -1093.474854        0.086671
FIRE:    4 23:49:31    -1093.490234        0.079979
FIRE:    5 23:49:31    -1093.507202        0.072226
FIRE:    6 23:49:32    -1093.525024        0.064203
FIRE:    7 23:49:32    -1093.542725        0.056984
FIRE:    8 23:49:32    -1093.561401        0.051332
FIRE:    9 23:49:33    -1093.580688        0.049123
      Step     Time          Energy          fmax
FIRE:    0 23:50:45    -1093.448853        0.097342
FIRE:    1 23:50:45    -1093.453369        0.095537
FIRE:    2 23:50:45    -1093.462280        0.091958
FIRE:    3 23:50:46    -1093.474854        0.086671
FIRE:    4 23:50:46    -1093.490234        0.079979
FIRE:    5 23:50:46    -1093.507202        0.072226
FIRE:    6 23:50:47    -1093.525024        0.064203
FIRE:    7 23:50:47    -1093.542725        0.056984
FIRE:    8 23:50:47    -1093.561401        0.051332
