2024-12-11 23:16:35,891 -   DEBUG - MD starts from No.-1 configuration in /home/energy/mahpe/Published_code/autocPaiNN/Example_data/NaMnPO4.traj
2024-12-11 23:16:38,228 -    INFO - Steps=        21 Epot=    -182.853 Ekin=       4.588 temperature= 1267.65 energy_var=0.00000, forces_var=0.00000, forces_l2_var=0.00000, stress_var=0.00000, magmom_var=0.00000, bader_charge_var=0.00000, forces_var_mean=0.00000, forces_sd=0.00000 
2024-12-11 23:16:38,327 -    INFO - Steps=        22 Epot=    -182.858 Ekin=       4.575 temperature= 1264.04 energy_var=0.00000, forces_var=0.00000, forces_l2_var=0.00000, stress_var=0.00000, magmom_var=0.00000, bader_charge_var=0.00000, forces_var_mean=0.00000, forces_sd=0.00000 
2024-12-11 23:16:38,425 -    INFO - Steps=        23 Epot=    -182.864 Ekin=       4.598 temperature= 1270.39 energy_var=0.00000, forces_var=0.00000, forces_l2_var=0.00000, stress_var=0.00000, magmom_var=0.00000, bader_charge_var=0.00000, forces_var_mean=0.00000, forces_sd=0.00000 
2024-12-11 23:16:38,526 -    INFO - Steps=        24 Epot=    -182.870 Ekin=       4.608 temperature= 1273.25 energy_var=0.00000, forces_var=0.00000, forces_l2_var=0.00000, stress_var=0.00000, magmom_var=0.00000, bader_charge_var=0.00000, forces_var_mean=0.00000, forces_sd=0.00000 
2024-12-11 23:16:38,626 -    INFO - Steps=        25 Epot=    -182.878 Ekin=       4.645 temperature= 1283.49 energy_var=0.00000, forces_var=0.00000, forces_l2_var=0.00000, stress_var=0.00000, magmom_var=0.00000, bader_charge_var=0.00000, forces_var_mean=0.00000, forces_sd=0.00000 
2024-12-11 23:16:38,722 -    INFO - Steps=        26 Epot=    -182.886 Ekin=       4.650 temperature= 1284.83 energy_var=0.00000, forces_var=0.00000, forces_l2_var=0.00000, stress_var=0.00000, magmom_var=0.00000, bader_charge_var=0.00000, forces_var_mean=0.00000, forces_sd=0.00000 
2024-12-11 23:16:38,816 -    INFO - Steps=        27 Epot=    -182.894 Ekin=       4.655 temperature= 1286.07 energy_var=0.00000, forces_var=0.00000, forces_l2_var=0.00000, stress_var=0.00000, magmom_var=0.00000, bader_charge_var=0.00000, forces_var_mean=0.00000, forces_sd=0.00000 
2024-12-11 23:16:38,915 -    INFO - Steps=        28 Epot=    -182.901 Ekin=       4.647 temperature= 1283.98 energy_var=0.00000, forces_var=0.00000, forces_l2_var=0.00000, stress_var=0.00000, magmom_var=0.00000, bader_charge_var=0.00000, forces_var_mean=0.00000, forces_sd=0.00000 
2024-12-11 23:16:39,011 -    INFO - Steps=        29 Epot=    -182.906 Ekin=       4.632 temperature= 1279.89 energy_var=0.00000, forces_var=0.00000, forces_l2_var=0.00000, stress_var=0.00000, magmom_var=0.00000, bader_charge_var=0.00000, forces_var_mean=0.00000, forces_sd=0.00000 
2024-12-11 23:16:39,129 -    INFO - Steps=        30 Epot=    -182.909 Ekin=       4.663 temperature= 1288.49 energy_var=0.00000, forces_var=0.00000, forces_l2_var=0.00000, stress_var=0.00000, magmom_var=0.00000, bader_charge_var=0.00000, forces_var_mean=0.00000, forces_sd=0.00000 
2024-12-11 23:16:39,236 -    INFO - Steps=        31 Epot=    -182.910 Ekin=       4.693 temperature= 1296.73 energy_var=0.00000, forces_var=0.00000, forces_l2_var=0.00000, stress_var=0.00000, magmom_var=0.00000, bader_charge_var=0.00000, forces_var_mean=0.00000, forces_sd=0.00000 
2024-12-11 23:16:39,341 -    INFO - Steps=        32 Epot=    -182.910 Ekin=       4.691 temperature= 1296.23 energy_var=0.00000, forces_var=0.00000, forces_l2_var=0.00000, stress_var=0.00000, magmom_var=0.00000, bader_charge_var=0.00000, forces_var_mean=0.00000, forces_sd=0.00000 
2024-12-11 23:16:39,447 -    INFO - Steps=        33 Epot=    -182.909 Ekin=       4.680 temperature= 1292.94 energy_var=0.00000, forces_var=0.00000, forces_l2_var=0.00000, stress_var=0.00000, magmom_var=0.00000, bader_charge_var=0.00000, forces_var_mean=0.00000, forces_sd=0.00000 
