      Step     Time          Energy          fmax
FIRE:   50 23:44:57    -1095.480591        0.124726
FIRE:   51 23:44:57    -1095.483521        0.441031
FIRE:   52 23:44:57    -1095.489624        0.338108
FIRE:   53 23:44:58    -1095.496704        0.270068
FIRE:   54 23:44:58    -1095.505737        0.415341
FIRE:   55 23:44:58    -1095.519531        0.243513
FIRE:   56 23:44:58    -1095.532104        0.305711
FIRE:   57 23:44:59    -1095.543091        0.422231
FIRE:   58 23:44:59    -1095.553711        0.276371
FIRE:   59 23:44:59    -1095.564087        0.220282
FIRE:   60 23:44:59    -1095.576660        0.151472
FIRE:   61 23:45:00    -1095.588745        0.145437
FIRE:   62 23:45:00    -1095.585693        1.049376
FIRE:   63 23:45:00    -1095.596069        0.328043
FIRE:   64 23:45:00    -1095.596680        0.234223
FIRE:   65 23:45:00    -1095.597412        0.125083
FIRE:   66 23:45:01    -1095.597778        0.145276
FIRE:   67 23:45:01    -1095.598145        0.205742
FIRE:   68 23:45:01    -1095.598755        0.212078
FIRE:   69 23:45:01    -1095.599731        0.121212
FIRE:   70 23:45:02    -1095.600464        0.034928
      Step     Time          Energy          fmax
FIRE:    0 23:46:33    -1093.580566        0.443086
FIRE:    1 23:46:33    -1093.591064        0.608247
FIRE:    2 23:46:33    -1093.618408        0.969132
FIRE:    3 23:46:34    -1093.687988        1.687411
FIRE:    4 23:46:34    -1093.885010        3.131781
FIRE:    5 23:46:34    -1094.335815        2.871284
FIRE:    6 23:46:35    -1094.609253        0.805675
FIRE:    7 23:46:35    -1094.629395        1.112796
FIRE:    8 23:46:35    -1094.636597        0.934139
FIRE:    9 23:46:36    -1094.647217        0.619532
FIRE:   10 23:46:36    -1094.656982        0.452403
FIRE:   11 23:46:36    -1094.664917        0.616298
FIRE:   12 23:46:36    -1094.673218        0.699856
FIRE:   13 23:46:37    -1094.684814        0.658240
FIRE:   14 23:46:37    -1094.698853        0.471840
FIRE:   15 23:46:37    -1094.712402        0.260557
FIRE:   16 23:46:37    -1094.720459        0.518148
FIRE:   17 23:46:38    -1094.728882        0.805896
FIRE:   18 23:46:38    -1094.749268        0.674978
FIRE:   19 23:46:38    -1094.776245        0.454362
FIRE:   20 23:46:38    -1094.802734        0.673465
