2024-12-11 23:16:35,891 -   DEBUG - MD starts from No.-1 configuration in /home/energy/mahpe/Published_code/autocPaiNN/Example_data/NaFePO4.traj
2024-12-11 23:16:38,464 -    INFO - Steps=        21 Epot=    -183.321 Ekin=       4.711 temperature= 1301.60 energy_var=0.00000, forces_var=0.00000, forces_l2_var=0.00000, stress_var=0.00000, magmom_var=0.00000, bader_charge_var=0.00000, forces_var_mean=0.00000, forces_sd=0.00000 
2024-12-11 23:16:38,588 -    INFO - Steps=        22 Epot=    -183.328 Ekin=       4.718 temperature= 1303.57 energy_var=0.00000, forces_var=0.00000, forces_l2_var=0.00000, stress_var=0.00000, magmom_var=0.00000, bader_charge_var=0.00000, forces_var_mean=0.00000, forces_sd=0.00000 
2024-12-11 23:16:38,707 -    INFO - Steps=        23 Epot=    -183.335 Ekin=       4.693 temperature= 1296.59 energy_var=0.00000, forces_var=0.00000, forces_l2_var=0.00000, stress_var=0.00000, magmom_var=0.00000, bader_charge_var=0.00000, forces_var_mean=0.00000, forces_sd=0.00000 
2024-12-11 23:16:38,829 -    INFO - Steps=        24 Epot=    -183.343 Ekin=       4.702 temperature= 1299.12 energy_var=0.00000, forces_var=0.00000, forces_l2_var=0.00000, stress_var=0.00000, magmom_var=0.00000, bader_charge_var=0.00000, forces_var_mean=0.00000, forces_sd=0.00000 
2024-12-11 23:16:38,953 -    INFO - Steps=        25 Epot=    -183.350 Ekin=       4.705 temperature= 1299.93 energy_var=0.00000, forces_var=0.00000, forces_l2_var=0.00000, stress_var=0.00000, magmom_var=0.00000, bader_charge_var=0.00000, forces_var_mean=0.00000, forces_sd=0.00000 
2024-12-11 23:16:39,075 -    INFO - Steps=        26 Epot=    -183.357 Ekin=       4.710 temperature= 1301.40 energy_var=0.00000, forces_var=0.00000, forces_l2_var=0.00000, stress_var=0.00000, magmom_var=0.00000, bader_charge_var=0.00000, forces_var_mean=0.00000, forces_sd=0.00000 
2024-12-11 23:16:39,196 -    INFO - Steps=        27 Epot=    -183.365 Ekin=       4.699 temperature= 1298.28 energy_var=0.00000, forces_var=0.00000, forces_l2_var=0.00000, stress_var=0.00000, magmom_var=0.00000, bader_charge_var=0.00000, forces_var_mean=0.00000, forces_sd=0.00000 
2024-12-11 23:16:39,317 -    INFO - Steps=        28 Epot=    -183.372 Ekin=       4.719 temperature= 1303.91 energy_var=0.00000, forces_var=0.00000, forces_l2_var=0.00000, stress_var=0.00000, magmom_var=0.00000, bader_charge_var=0.00000, forces_var_mean=0.00000, forces_sd=0.00000 
2024-12-11 23:16:39,437 -    INFO - Steps=        29 Epot=    -183.379 Ekin=       4.760 temperature= 1315.28 energy_var=0.00000, forces_var=0.00000, forces_l2_var=0.00000, stress_var=0.00000, magmom_var=0.00000, bader_charge_var=0.00000, forces_var_mean=0.00000, forces_sd=0.00000 
2024-12-11 23:16:39,560 -    INFO - Steps=        30 Epot=    -183.386 Ekin=       4.748 temperature= 1311.73 energy_var=0.00000, forces_var=0.00000, forces_l2_var=0.00000, stress_var=0.00000, magmom_var=0.00000, bader_charge_var=0.00000, forces_var_mean=0.00000, forces_sd=0.00000 
2024-12-11 23:16:39,679 -    INFO - Steps=        31 Epot=    -183.392 Ekin=       4.718 temperature= 1303.56 energy_var=0.00000, forces_var=0.00000, forces_l2_var=0.00000, stress_var=0.00000, magmom_var=0.00000, bader_charge_var=0.00000, forces_var_mean=0.00000, forces_sd=0.00000 
2024-12-11 23:16:39,798 -    INFO - Steps=        32 Epot=    -183.398 Ekin=       4.700 temperature= 1298.62 energy_var=0.00000, forces_var=0.00000, forces_l2_var=0.00000, stress_var=0.00000, magmom_var=0.00000, bader_charge_var=0.00000, forces_var_mean=0.00000, forces_sd=0.00000 
